relative path,source url,rights holders
3d_effect_generation_three-view_reference_0002/0001.jpg,https://www.zcool.com.cn/work/ZMTY5NjI1Ng==.html?switchPage=on,随风梦呓
3d_effect_generation_three-view_reference_0002/0002.jpg,https://www.zcool.com.cn/work/ZMTY5NjI1Ng==.html?switchPage=on,随风梦呓
3d_effect_generation_three-view_reference_0002/0003.jpg,https://www.zcool.com.cn/work/ZMTY5NjI1Ng==.html?switchPage=on,随风梦呓
childrens_book_generation_role_definition_0001/0001.jpg,https://www.zcool.com.cn/work/ZNDk3Mzk0ODQ=.html,RSSHOP
childrens_book_generation_role_definition_0001/0002.jpg,https://www.zcool.com.cn/work/ZNDk3Mzk0ODQ=.html,RSSHOP
childrens_book_generation_role_definition_0001/0003.jpg,https://www.zcool.com.cn/work/ZNDk3Mzk0ODQ=.html,RSSHOP
childrens_book_generation_role_definition_0001/0004.jpg,https://www.zcool.com.cn/work/ZNDk3Mzk0ODQ=.html,RSSHOP
childrens_book_generation_role_definition_0002/0001.jpg,https://www.zcool.com.cn/work/ZNjg5MjY5ODQ=.html,航__
childrens_book_generation_role_definition_0002/0002.jpg,https://www.zcool.com.cn/work/ZNjg5MjY5ODQ=.html,航__
childrens_book_generation_role_definition_0002/0003.jpg,https://www.zcool.com.cn/work/ZNjg5MjY5ODQ=.html,航__
childrens_book_generation_role_definition_0002/0004.jpg,https://www.zcool.com.cn/work/ZNjg5MjY5ODQ=.html,航__
childrens_book_generation_role_definition_0002/0005.jpg,https://www.zcool.com.cn/work/ZNjg5MjY5ODQ=.html,航__
childrens_book_generation_scenario_definition_0001/0001.jpg,https://www.zcool.com.cn/work/ZNTM3Njc1MTY=.html,妙小程
childrens_book_generation_scenario_definition_0001/0002.jpg,https://www.zcool.com.cn/work/ZNTM3Njc2MTY=.html,妙小程
childrens_book_generation_scenario_definition_0001/0003.jpg,https://www.zcool.com.cn/work/ZNTM3Njc3MTY=.html,妙小程
childrens_book_generation_scenario_definition_0002/0001.jpg,https://www.zcool.com.cn/work/ZNTM3Njk2NjA=.html,妙小程
childrens_book_generation_scenario_definition_0002/0002.jpg,https://www.zcool.com.cn/work/ZNTM3Njk2NjA=.html,妙小程
creativity_transfer_0002/0001.jpg,https://www.zcool.com.cn/work/ZMjA3MTgwNjQ=.html,y米粒
human_attribute_editing_hairstyle_transformation_0001/0001.jpg,https://www.zcool.com.cn/work/ZNTg0NjUwNTI=.html,栩Film
human_attribute_editing_hairstyle_transformation_0002/0001.jpg,https://www.zcool.com.cn/work/ZNjAzNDE0NDg=.html,欧兰萍
image_blending_artisic_collage_0002/0001.jpg,https://www.zcool.com.cn/work/ZNzA1MzY5MjQ=.html,TMOST电商视觉
image_blending_artisic_collage_0002/0002.jpg,https://www.zcool.com.cn/work/ZNzA1MzY5MjQ=.html,TMOST电商视觉
image_blur_filed_blur_0001/0001.jpg,https://www.zcool.com.cn/work/ZNjg3OTE3Mjg=.html,Ma___
image_blur_filed_blur_0002/0001.jpg,https://www.zcool.com.cn/work/ZNzA0MzgzOTY=.html,白山Gavin
